01FFC714    OS_IrqHandler_ThreadSwitch
0207A4A8    GX_GetDefaultDMA
0207A4A8    GX_GetDefaultDMA
0207BED0    MTX_Scale44
0207C234    MTX_Scale44
0207D0AC    MTX_Scale44
0207D0B8    MTX_Scale44
0207DBB0    G2dStopAnimCtrl
0207EC9C    G2dResetEntityPaletteTable
02086B34    MTX_Scale44
02087178    CARD_SetPulledOutCallback
02087188    OS_GetCurrentThread
02087188    OS_GetCurrentThread
0208722C    OS_WaitAnyIrq
020881DC    MTX_Scale44
0208874C    MTX_Scale44
02088758    MTX_Scale44
02088898    MTX_Scale44
020888BC    MTX_Scale44
0208B29C    MTX_Scale44
0208B2A8    MTX_Scale44
0208B6C8    MTX_Scale44
0208D6D0    G3CS_MtxMode
020907C8    CARD_SetPulledOutCallback
0209096C    MATH_CRC8Init
0209096C    MATH_CRC8Init
0209367C    MI_CpuFill16
02093694    MI_CpuFill16
020960F4    GX_GetDefaultDMA
020960F4    GX_GetDefaultDMA
02097DB4    OS_WaitAnyIrq
02097FD4    MATH_MD5Init
02097FD4    MTX_Scale44
02097FE0    MTX_Scale44
02097FEC    MTX_Scale44
02097FF8    SndInit
02098080    SndMain
020980B0    SndSetMonoFlag
020980D0    BeginSleep
02098108    MTX_Scale44
02098114    SndLockChannel
0209815C    SndUnlockChannel
0209818C    SndLockCapture
020981B0    SndUnlockCapture
020981CC    SndAllocAlarm
02098214    SndFreeAlarm
02098234    SndInitResourceMgr
02098250    SndPlayerSetPlayerVolume
02098268    SndPlayerSetPlayableSeqCount
02098288    SndPlayerSetAllocatableChannel
020982A0    SndPlayerCreateHeap
02098334    SndPlayerStopSeq
02098344    SndPlayerPause
02098354    MATH_CRC32POSIXInit
02098354    MATH_CRC32POSIXInit
02098360    SndHandleReleaseSeq
02098380    SndPlayerCountPlayingSeqBySeqNo
020983D4    SndPlayerCountPlayingSeqBySeqArcIdxx
02098434    SndPlayerSetVolume
02098448    SndPlayerSetInitialVolume
0209845C    SndPlayerMoveVolume
02098488    SndPlayerSetChannelPriority
020984A8    SndPlayerSetTrackPitch
020984C8    SndPlayerSetTrackPan
020984E8    SndPlayerSetSeqNo
0209850C    SndPlayerSetSeqArcNo
02098538    SndPlayerInit
020985EC    SndPlayerMain
02098750    SndPlayerAllocSeqPlayer
020987E8    MTX_Scale44
020987F4    SndPlayerStartSeq
02098844    SndPlayerStopSeq
02098890    SndPlayerPause
020988B8    SndPlayerAllocHeap
0209890C    InitPlayer
02098954    InsertPlayerList
020989A4    InsertPrioList
02098A30    AllocSeqPlayer
02098A98    ShutdownPlayer
02098B1C    PlayerHeapDisposeCallback
02098B6C    SetPlayerPriority
02098BCC    SndStrmInit
02098C44    SndStrmAllocChannel
02098CCC    SndStrmSetup
02098EC0    SndStrmStop
02098EDC    SndStrmSetVolume
02098F48    SndStrmSetChannelVolume
02098F9C    SndStrmSetChannelPan
02098FCC    ForceStopStrm
02099040    ShutdownStrm
02099070    AlarmCallback
02099080    StrmCallback
02099130    BeginSleep
0209917C    EndSleep
020991EC    SndCaptureStartEffect
02099298    SndCaptureStopEffect
020992C4    SndCaptureInit
020992DC    SndCaptureMain
02099364    SndCaptureStart
020996D0    SndCaptureStop
020997C0    SndCaptureBeginSleep
02099820    SndCaptureEndSleep
020998A4    AlarmCallback
02099A10    SndArcSetup
02099CAC    SndArcSetCurrent
02099CC4    GX_GetDefaultDMA
02099CC4    GX_GetDefaultDMA
02099CD4    SndArcGetSeqInfo
02099D38    SndArcGetSeqArcInfo
02099D9C    SndArcGetBankInfo
02099E00    SndArcGetWaveArcInfo
02099E64    SndArcGetStrmInfo
02099EC8    SndArcGetPlayerInfo
02099F2C    SndArcGetStrmPlayerInfo
02099F90    SndArcGetGroupInfo
02099FF4    SndArcGetFileOffset
0209A01C    SndArcGetFileSize
0209A10C    SndArcGetFileID
0209A12C    SndArcGetFileAddress
0209A154    SndArcSetFileAddress
0209A184    InfoDisposeCallback
0209A190    FatDisposeCallback
0209A19C    SymbolDisposeCallback
0209A1A8    SndHeapCreate
0209A218    SndHeapDestroy
0209A230    SndHeapClear
0209A2EC    SndHeapAlloc
0209A354    SndHeapSaveState
0209A3A0    SndHeapLoadState
0209A474    SndHeapGetCurrentLevel
0209A480    G3CS_Nop
0209A490    InitHeap
0209A4C4    NewSection
0209A520    SndArcLoadGroup
0209A538    SndArcLoadSeq
0209A564    SndArcLoadSeqEx
0209A588    SndArcLoadGroup
0209A68C    SndArcLoadSeq
0209A710    SndArcLoadSeqArc
0209A770    SndArcLoadBank
0209A8B0    SndArcLoadWaveArc
0209A93C    SndArcLoadFile
0209A9DC    LoadBank
0209AA48    LoadBank
0209AAB4    LoadBank
0209AB20    LoadBank
0209AB8C    LoadWaveArcTable
0209AC94    DisposeCallback
0209ACEC    SeqDisposeCallback
0209AD14    BankDisposeCallback
0209AD44    WaveArcDisposeCallback
0209AD74    WaveArcTableDisposeCallback
0209AD94    SingleWaveDisposeCallback
0209ADDC    LoadSingleWave
0209AEA4    LoadSingleWaves
0209AF64    SndArcPlayerSetup
0209B000    SndArcPlayerStartSeq
0209B048    SndArcPlayerStartSeqArc
0209B0C8    StartSeq
0209B1C4    StartSeqArc
0209B288    SndArcStrmInit
0209B38C    SndArcStrmSetupPlayer
0209B454    SndArcStrmPrepare
0209B4B0    SndArcStrmStartPrepared
0209B4D0    SndArcStrmStart
0209B4F8    SndArcStrmStop
0209B514    SndArcStrmMoveVolume
0209B548    MATH_CRC32POSIXInit
0209B548    MATH_CRC32POSIXInit
0209B554    SndStrmHandleRelease
0209B56C    SndArcStrmGetChannelCount
0209B584    SndArcStrmMain
0209B694    AllocPlayer
0209B720    FreePlayer
0209B74C    PrepareStrm
0209B9BC    StopStrm
0209BA14    ForceStopStrm
0209BAAC    ShutdownPlayer
0209BB10    AllocChannel
0209BB48    FreeChannel
0209BB6C    CreateThread
0209BBCC    RemoveCommandByPlayer
0209BC3C    ReadCommandBuffer
0209BC8C    AllocCommandBuffer
0209BCCC    FreeCommandBuffer
0209BCF8    DisposeCallback
0209BD94    StrmCallback
0209BECC    OnDataEnd
0209C010    MakeWaveData
0209C838    SetupStreamFunction
0209C92C    CloseFileStream
0209C93C    ReadFileStream
0209C974    CancelFileStream
0209C984    OpenMemoryStream
0209C9B0    ReadMemoryStream
0209C9D0    StrmThread
0209CA20    SndCaptureStartOutputEffect
0209CA9C    SndCaptureChangeOutputEffect
0209CB70    EffectCallback
0209CC08    SurroundProc
0209CD90    HeadphoneProc
0209CF5C    MonoProc
0209CF9C    SndSeqArcGetSeqInfo
0209CFDC    SndFaderInit
0209CFF4    SndFaderSet
0209D01C    SndFaderGet
0209D050    SndFaderUpdate
0209D068    SndFaderIsFinished
0209D080    FndInitList
0209D098    SetFirstObject
0209D0C4    FndAppendListObject
0209D118    FndPrependListObject
0209D168    FndInsertListObject
0209D1CC    FndRemoveListObject
0209D22C    FndGetNextListObject
0209D244    FndGetPrevListObject
0209D258    FindContainHeap
0209D2C0    FindListContainHeap
0209D2E8    FndInitHeapHead
0209D37C    GetRegionOfMBlock
0209D3A8    RemoveMBlock
0209D3D0    InsertMBlock
0209D400    InitMBlock
0209D42C    InitExpHeap
0209D4A0    AllocUsedBlockFromFreeBlock
0209D620    AllocFromHead
0209D6D4    AllocFromTail
0209D784    RecycleRegion
0209D874    FndCreateExpHeapEx
0209D8AC    MTX_Scale44
0209D8B8    FndAllocFromExpHeapEx
0209D8E8    FndFreeToExpHeap
0209D924    InitFrameHeap
0209D96C    AllocFromHead
0209D9C8    AllocFromTail
0209DA20    FreeHead
0209DA34    FreeTail
0209DA60    FndCreateFrmHeapEx
0209DA98    MTX_Scale44
0209DAA4    FndAllocFromFrmHeapEx
0209DAD8    FndFreeToFrmHeap
0209DB04    FndRecordStateForFrmHeap
0209DB54    FndFreeByStateToFrmHeap
0209DBA4    MTX_Scale22_
0209DBA4    MTX_Scale22_
0209DBB0    MTX_Rot22_
0209DBB0    MTX_Rot22_
0209DBBC    MTX_Concat22
0209DC6C    MTX_Identity33_
0209DC6C    MTX_Identity33_
0209DC90    MTX_ScaleApply33
0209DC90    MTX_ScaleApply33
0209DD50    MTX_Inverse33
0209E040    MTX_Identity43_
0209E040    MTX_Identity43_
0209E068    MTX_Copy43To44_
0209E068    MTX_Copy43To44_
0209E09C    MTX_ScaleApply43
0209E0D0    MTX_Inverse43
0209E45C    MTX_Concat43
0209E838    MTX_Identity44_
0209E838    MTX_Identity44_
0209E864    MTX_Copy44To43_
0209E864    MTX_Copy44To43_
0209E898    MTX_Concat44
0209F250    FX_Div
0209F260    CP_GetDivResult64
0209F260    CP_GetDivResult64
0209F284    FX_GetDivResult
0209F2BC    FX_InvAsync
0209F2EC    FX_DivAsync
0209F314    FX_DivS32
0209F350    FX_ModS32
0209F38C    VEC_Subtract
0209F38C    VEC_Subtract
0209F3C0    VEC_DotProduct
0209F3FC    VEC_CrossProduct
0209F480    VEC_Mag
0209F4E0    VEC_Normalize
0209F5F8    VEC_MultAdd
020A24BC    OSi_IrqCallback
020A2544    OSi_IrqDma0
020A2554    OSi_IrqDma1
020A2564    OSi_IrqDma2
020A2574    OSi_IrqDma3
020A2584    OSi_IrqTimer0
020A2594    OSi_IrqTimer1
020A25A4    OSi_IrqTimer2
020A25B4    OSi_IrqTimer3
020A25C4    OS_InitIrqTable
020A25C4    OS_InitIrqTable
020A25DC    OS_SetIrqFunction
020A2664    OS_GetIrqFunction
020A26F0    OSi_EnterDmaCallback
020A2738    OSi_EnterTimerCallback
020A2780    OS_SetIrqMask
020A27AC    OS_EnableIrqMask
020A27DC    OS_DisableIrqMask
020A280C    OS_ResetRequestIrqMask
020A2994    OSi_DoUnlockByWord
020A2A08    OS_UnlockByWord
020A2A18    OSi_DoTryLockByWord
020A2A84    OS_UnlockCartridge
020A2AA4    OS_UnLockCartridge
020A2AA4    OS_UnLockCartridge
020A2AB0    OS_TryLockCartridge
020A2AD0    OSi_AllocateCartridgeBus
020A2AD0    OSi_AllocateCartridgeBus
020A2AE8    OSi_FreeCartridgeBus
020A2AE8    OSi_FreeCartridgeBus
020A2B00    OS_TryLockCard
020A2B00    OS_UnlockCard
020A2B1C    OS_TryLockCard
020A2B1C    OS_UnlockCard
020A2B38    OSi_AllocateCardBus
020A2B38    OSi_AllocateCardBus
020A2B50    OSi_FreeCardBus
020A2B50    OSi_FreeCardBus
020A2BC8    OS_ReleaseLockID
020A2BC8    OS_ReleaseLockID
020A2BF8    OS_SPrintf
020A2C60    MTX_Scale44
020A2C6C    OSi_GetUnusedThreadId
020A2C84    OSi_InsertLinkToQueue
020A2C84    OSi_InsertLinkToQueue
020A2CFC    OSi_RemoveLinkFromQueue
020A2CFC    OSi_RemoveLinkFromQueue
020A2D30    OSi_RemoveSpecifiedLinkFromQueue
020A2D84    OSi_RemoveMutexLinkFromQueue
020A2D84    OSi_RemoveMutexLinkFromQueue
020A2DB4    OSi_InsertThreadToList
020A2E14    OSi_RemoveThreadFromList
020A2E5C    OSi_RescheduleThread
020A3070    GX_GetDefaultDMA
020A3070    GX_GetDefaultDMA
020A3080    OS_CreateThread
020A317C    OS_ExitThread
020A319C    OSi_ExitThread_ArgSpecified
020A31F8    OSi_ExitThread
020A328C    OS_DestroyThread
020A3308    OSi_CancelThreadAlarmForSleep
020A3320    OS_JoinThread
020A3350    OS_IsThreadTerminated
020A3350    OS_IsThreadTerminated
020A3364    OS_SleepThread
020A33B4    OS_WakeupThread
020A341C    OS_WakeupThreadDirect
020A3444    OS_SelectThread
020A346C    OS_RescheduleThread
020A3488    OS_YieldThread
020A3540    OS_SetThreadPriority
020A368C    OSi_SleepAlarmCallback
020A368C    OSi_SleepAlarmCallback
020A36AC    OS_SetSwitchThreadCallback
020A36D4    OSi_IdleThreadProc
020A36E4    OS_DisableScheduler
020A3718    OS_EnableScheduler
020A3764    OS_InitContext
020A37D0    OS_SaveContext
020A37D0    OS_SaveContext
020A381C    OS_LoadContext
020A381C    OS_LoadContext
020A3868    OS_GetConsoleType
020A3880    OS_InitMessageQueue
020A38A8    OS_SendMessage
020A393C    OS_ReceiveMessage
020A39E0    OS_JamMessage
020A3A7C    OS_ReadMessage
020A3AF8    OS_InitMutex
020A3B10    OS_LockMutex
020A3B94    OS_UnlockMutex
020A3BF0    OSi_UnlockAllMutex
020A3C2C    OS_TryLockMutex
020A3CA0    OSi_EnqueueTail
020A3CA0    OSi_EnqueueTail
020A3CC4    OSi_DequeueItem
020A3CC4    OSi_DequeueItem
